Rank,Player,Expert
60,* Eloy Jimenez LF | CHW  $17 ,2
61,Travis Shaw 3B | MIL  $19 ,2
62,Nelson Cruz DH | MIN  $19 ,2
63,Khris Davis DH | OAK  $19 ,2
64,Xander Bogaerts SS | BOS  $19 ,2
65,* Vladimir Guerrero 3B | TOR  $18 ,2
66,* Corey Seager SS | LAD  $19 ,2
67,* Adalberto Mondesi SS | KC  $15 ,2
68,Andrew McCutchen RF | PHI $12 ,2
69,Jose Berrios SP | MIN $16 ,2
70,Jameson Taillon SP | PIT  $16 ,2
71,Tommy Pham CF | TB  $15 ,2
72,Chris Archer SP | PIT $15 ,2
73,Marcell Ozuna LF | STL  $15 ,2
74,A.J. Pollock CF | LAD $13 ,2
75,Eddie Rosario LF | MIN $15 ,2
76,Joey Gallo LF | TEX  $15 ,2
77,Jesus Aguilar 1B | MIL $15 ,2
78,Daniel Murphy 2B | COL $15 ,2
79,Jean Segura SS | PHI $15 ,2
80,Eugenio Suarez 3B | CIN  $13 ,2
81,Justin Turner 3B | LAD  $13 ,2
82,Ozzie Albies 2B | ATL $13 ,2
83,Roberto Osuna RP | HOU  $15 ,2
84,Aroldis Chapman RP | NYY  $15 ,2
85,Edwin Diaz RP | NYM $15 ,2
86,* Robinson Cano 2B | NYM  $12 ,2
87,Kenley Jansen RP | LAD  $13 ,2
88,Carlos Santana 1B | CLE $13 ,2
89,Edwin Encarnacion DH | SEA  $13 ,2
90,Blake Treinen RP | OAK  $13 ,2
91,Craig Kimbrel RP | BOS $14 ,2
92,Brad Hand RP | CLE $13 ,2
93,Luis Severino SP | NYY  $24 ,2
94,German Marquez SP | COL $12 ,2
95,Shane Bieber SP | CLE $11 ,2
96,Charlie Morton SP | TB $12 ,2
97,Robbie Ray SP | ARI  $12 ,2
98,* David Dahl LF | COL  $11 ,2
99,Wilson Ramos C | NYM  $11 ,2
100,* Buster Posey C | SF $10 ,2
101,Yasmani Grandal C | MIL  $9 ,2
102,Willson Contreras C | CHC $9 ,2
103,Yu Darvish SP | CHC  $11 ,2
104,Max Muncy 1B | LAD  $15 ,2
105,* Nick Pivetta SP | PHI  $11 ,2
106,* Luis Castillo SP | CIN $11 ,2
107,David Price SP | BOS  $11 ,2
108,Masahiro Tanaka SP | NYY  $11 ,2
109,* Tyler Glasnow RP | TB  $11 ,2
110,Kenta Maeda SP | LAD  $11 ,2
111,Zack Wheeler SP | NYM  $11 ,2
112,Jon Gray SP | COL  $11 ,2
113,* Yasiel Puig RF | CIN $11 ,2
114,Michael Conforto LF | NYM $11 ,2
115,Matt Chapman 3B | OAK $9 ,2
116,* Gleyber Torres 2B | NYY $13 ,2
117,Paul DeJong SS | STL $11 ,2
118,Madison Bumgarner SP | SF  $11 ,2
119,Dallas Keuchel SP | HOU  $11 ,2
120,Felipe Vazquez RP | PIT $9 ,2
121,Brian Dozier 2B | WAS  $9 ,2
122,* Mallex Smith CF | SEA  $9 ,2
123,* Jesse Winker RF | CIN  $6 ,2
124,Josh Donaldson 3B | ATL $9 ,2
125,Mike Moustakas 3B | MIL  $2 ,2
126,Nicholas Castellanos RF | DET $8 ,2
127,Zack Godley SP | ARI $8 ,2
128,Jose Quintana SP | CHC  $8 ,2
129,* Kyle Hendricks SP | CHC  $8 ,2
130,* Yusei Kikuchi SP | SEA  $8 ,2
131,* Danny Jansen C | TOR  $8 ,2
132,Yadier Molina C | STL  $8 ,2
133,Raisel Iglesias RP | CIN $7 ,2
134,Sean Doolittle RP | WAS  $7 ,2
135,Cody Allen RP | LAA  $7 ,2
136,Wade Davis RP | COL $7 ,2
137,Jose Leclerc RP | TEX  $7 ,2
138,* Kirby Yates RP | SD $7 ,2
139,* Josh Hader RP | MIL  $2 ,2
140,J.A. Happ SP | NYY $6 ,2
141,Rafael Devers 3B | BOS $6 ,2
142,* Jurickson Profar SS | OAK  $6 ,2
143,Dee Gordon 2B | SEA $6 ,2
144,* Victor Robles CF | WAS  $6 ,2
145,Justin Upton LF | LAA  $15 ,2
146,Rougned Odor 2B | TEX $6 ,2
147,* Nomar Mazara RF | TEX  $6 ,2
148,Shin-Soo Choo DH | TEX $6 ,2
149,David Peralta LF | ARI $6 ,2
150,* Adam Eaton RF | WAS  $6 ,2
151,* Fernando Tatis SS | SD  ,2
152,* Jake Bauers 1B | CLE $6 ,2
153,* Miguel Cabrera 1B | DET  $6 ,2
154,Cole Hamels SP | CHC  $6 ,2
155,* Willy Adames SS | TB $6 ,2
156,* Stephen Piscotty RF | OAK  $6 ,2
157,Brandon Nimmo RF | NYM  $6 ,2
158,Aaron Hicks CF | NYY  $10 ,2
159,Gregory Polanco RF | PIT  $6 ,2
160,Eric Hosmer 1B | SD $6 ,2
161,Scooter Gennett 2B | CIN  $13 ,2
162,Jose Peraza SS | CIN  $6 ,2
163,Cesar Hernandez 2B | PHI  $6 ,2
164,* Jonathan Villar 2B | BAL $5 ,2
165,Elvis Andrus SS | TEX  $5 ,2
166,Ender Inciarte CF | ATL $5 ,2
167,Rick Porcello SP | BOS  $4 ,2
168,* Luke Weaver SP | ARI  $2 ,2
169,* Jordan Hicks RP | STL  ,2
170,* Sean Newcomb SP | ATL  $7 ,2
171,Jon Lester SP | CHC $2 ,2
172,Marcus Stroman SP | TOR $4 ,2
173,Jake Arrieta SP | PHI $2 ,2
174,* Odubel Herrera CF | PHI  $5 ,2
175,* Harrison Bader CF | STL $5 ,2
176,Ryan Braun LF | MIL  $5 ,2
177,Hyun-Jin Ryu SP | LAD  $3 ,2
178,Eduardo Rodriguez SP | BOS $1 ,2
179,* Corey Dickerson LF | PIT  $3 ,2
180,* Ken Giles RP | TOR  $3 ,2
181,Wil Myers LF | SD  $2 ,2
182,* Miguel Andujar 3B | NYY  $2 ,2
183,* Domingo Santana RF | SEA  $2 ,2
184,Marco Gonzales SP | SEA $1 ,2
185,* Ross Stripling SP | LAD  ,2
186,Rich Hill SP | LAD  $8 ,2
187,Andrew Heaney SP | LAA  $4 ,2
188,Tyler Skaggs SP | LAA  $4 ,2
189,* Ramon Laureano CF | OAK  $2 ,2
190,* Byron Buxton CF | MIN  $1 ,2
191,Yoan Moncada 2B | CHW  $1 ,2
192,Kyle Gibson SP | MIN $2 ,2
193,Joe Musgrove SP | PIT  $1 ,2
194,* Jimmy Nelson SP | MIL  $1 ,2
195,Mike Foltynewicz SP | ATL  $5 ,2
196,Alex Wood SP | CIN  $7 ,2
197,Carlos Rodon SP | CHW  $2 ,2
198,* Vince Velasquez SP | PHI  $1 ,2
199,Zach Eflin SP | PHI $1 ,2
200,DJ LeMahieu 2B | NYY $1 ,2
201,Will Smith RP | SF $1 ,2
202,* Brad Peacock RP | HOU  ,2
203,* Matt Strahm RP | SD  ,2
204,* Jeimer Candelario 3B | DET  $2 ,2
205,* Andrew Miller RP | STL  $1 ,2
206,* Francisco Mejia C | SD  $1 ,2
207,Francisco Cervelli C | PIT $8 ,2
208,* Welington Castillo C | CHW  $1 ,2
209,* Yuli Gurriel 1B | HOU  $1 ,2
210,* Ryan McMahon 1B | COL  ,2
211,* Pete Alonso 1B | NYM  $1 ,2
212,Zack Cozart 3B | LAA $1 ,2
213,* Jackie Bradley CF | BOS $1 ,2
214,Trevor Richards SP | MIA  $1 ,2
215,* Chris Paddack SP | SD  ,2
216,* Brad Keller RP | KC $1 ,2
217,* Julio Urias RP | LAD  ,2
218,* Nathan Eovaldi SP | BOS  $1 ,2
219,* Touki Toussaint SP | ATL  ,2
220,* Jesus Luzardo SP | OAK  $4 ,2
221,Kyle Schwarber LF | CHC  $1 ,2
222,* Joc Pederson LF | LAD  $1 ,2
223,Dereck Rodriguez SP | SF $1 ,2
224,Reynaldo Lopez SP | CHW  $1 ,2
225,* Hunter Renfroe LF | SD  $1 ,2
226,* Kyle Tucker LF | HOU $1 ,2
227,* Billy Hamilton CF | KC $1 ,2
228,* Shohei Ohtani DH | LAA  $1 ,2
229,* Brandon Woodruff RP | MIL  ,2
230,* Corbin Burnes RP | MIL  ,2
231,* Jung Ho Kang 3B | PIT  ,2
232,* Mike Zunino C | TB ,2
233,* Freddy Peralta SP | MIL  ,2
234,Sonny Gray SP | CIN  ,2
235,* Kevin Gausman SP | ATL  $1 ,2
236,Kyle Freeland SP | COL  $1 ,2
237,* Josh James SP | HOU  $1 ,2
238,* Collin McHugh RP | HOU $2 ,2
239,Matt Olson 1B | OAK  $6 ,2
240,Justin Smoak 1B | TOR  $1 ,2
241,Jose Martinez 1B | STL  $1 ,2
242,Kole Calhoun RF | LAA $1 ,2
243,Josh Bell 1B | PIT  $1 ,2
244,* Luke Voit 1B | NYY $1 ,2
245,* Tyler White 1B | HOU $1 ,2
246,* Ian Desmond 1B | COL  $1 ,2
247,Brandon Belt 1B | SF $1 ,2
248,* Marwin Gonzalez LF | MIN  ,2
249,Andrelton Simmons SS | LAA $1 ,2
250,* Tim Anderson SS | CHW  $1 ,2
251,Marcus Semien SS | OAK  $1 ,2
252,* Austin Meadows RF | TB $1 ,2
253,* Franmil Reyes RF | SD  ,2
254,* Tyler O'Neill RF | STL  ,2
255,* Corey Knebel RP | MIL  $4 ,2
256,Carlos Martinez SP | STL  $6 ,2
257,* David Robertson RP | PHI  ,2
258,Yonder Alonso 1B | CHW $1 ,2
259,Jake Lamb 3B | ARI  $1 ,2
260,* Jay Bruce RF | SEA ,2
261,Jed Lowrie 2B | NYM  $1 ,2
262,Jonathan Schoop 2B | MIN  $1 ,2
263,Ketel Marte 2B | ARI  $1 ,2
264,* Josh Harrison 2B | DET $1 ,2
265,* Nick Kingham SP | PIT  ,2
266,* Alex Colome RP | CHW  ,2
267,* Amed Rosario SS | NYM ,2
268,Miguel Sano 3B | MIN  $1 ,2
269,Asdrubal Cabrera 2B | TEX ,2
270,Joey Wendle 2B | TB  ,2
271,* Mark Trumbo DH | BAL  ,2
272,Evan Gattis DH | HOU  ,2
273,Eduardo Escobar 3B | ARI  ,2
274,* Evan Longoria 3B | SF  ,2
275,* Ian Happ CF | CHC  ,2
276,* Alex Reyes SP | STL  $1 ,2
277,* Chase Anderson SP | MIL  ,2
278,Tucker Barnhart C | CIN  ,2
279,Dylan Bundy SP | BAL  ,2
280,Tanner Roark SP | CIN  ,2
281,* Michael Pineda SP | MIN  ,2
282,* Domingo German SP | NYY  ,2
283,Gio Gonzalez SP | NYY  ,2
284,Michael Wacha SP | STL ,2
285,* Steven Matz SP | NYM ,2
286,* Arodys Vizcaino RP | ATL $1 ,2
287,* Pedro Strop RP | CHC  ,2
288,* Matt Barnes RP | BOS ,2
289,* Hunter Strickland RP | SEA  ,2
290,* Greg Holland RP | ARI  ,2
291,* Archie Bradley RP | ARI  ,2
292,* Seranthony Dominguez RP | PHI  ,2
293,* Forrest Whitley SP | HOU  ,2
294,* Robinson Chirinos C | HOU ,2
295,* Jorge Alfaro C | MIA  $1 ,2
296,* Willians Astudillo C | MIN  ,2
297,* Jorge Polanco SS | MIN  ,2
298,* Garrett Hampson SS | COL ,2
299,* Luis Urias 2B | SD  ,2
300,* Nick Senzel 2B | CIN  $1 ,2
